Epoch;MSE;ERROR;Alpha: 0,95;Lambda: 1e-06
100;0,892156;1
200;0,885953;1
300;0,879017;1
400;0,865589;1
500;0,84072;1
600;0,789355;1
700;0,729238;1
800;0,676792;1
900;0,642175;1
1.000;0,60432;1
1.100;0,559495;1
1.200;0,503489;1
1.300;0,454656;1
1.400;0,407719;1
1.500;0,370564;1
1.600;0,338159;1
1.700;0,315313;1
1.800;0,296728;1
1.900;0,283732;1
2.000;0,272791;1
2.100;0,264723;1
2.200;0,257522;1
2.300;0,251888;1
2.400;0,246549;1
2.500;0,24209;1
2.600;0,237529;1
2.700;0,233331;1
2.800;0,228457;1
2.900;0,223254;1
3.000;0,216372;1
3.100;0,208666;1
3.200;0,19924;1
3.300;0,19041;0
3.400;0,181623;0
3.500;0,174584;0
3.600;0,168096;0
3.700;0,163007;0
3.800;0,15829;0
3.900;0,154535;0
4.000;0,150992;0
4.100;0,148119;0
4.200;0,145357;0
4.300;0,143075;0
4.400;0,14084;0
4.500;0,138958;0
4.600;0,137081;0
4.700;0,135471;0
4.800;0,133838;0
4.900;0,132417;0
5.000;0,130955;0
5.100;0,129668;0
5.200;0,12833;0
5.300;0,127142;0
5.400;0,125898;0
5.500;0,124785;0
5.600;0,123611;0
5.700;0,122552;0
5.800;0,121426;0
5.900;0,1204;0
6.000;0,119296;0
6.100;0,118276;0
6.200;0,117163;0
6.300;0,116119;0
6.400;0,114957;0
6.500;0,113847;0
6.600;0,112587;0
6.700;0,111357;0
6.800;0,10993;0
6.900;0,108505;0
7.000;0,106817;0
7.100;0,105096;0
7.200;0,103023;0
7.300;0,100881;0
7.400;0,0982769;0
7.500;0,0955774;0
7.600;0,0922972;0
7.700;0,0889111;0
7.800;0,0848253;0
7.900;0,0806637;0
8.000;0,0758184;0
8.100;0,0712742;0
8.200;0,0666317;0
8.300;0,0627737;0
8.400;0,0590548;0
8.500;0,0559944;0
8.600;0,0530238;0
8.700;0,0505555;0
8.800;0,0481381;0
8.900;0,046114;0
9.000;0,0441178;0
9.100;0,0424343;0
9.200;0,040761;0
9.300;0,0393382;0
9.400;0,0379125;0
9.500;0,0366908;0
9.600;0,0354578;0
9.700;0,0343945;0
9.800;0,0333151;0
9.900;0,0323793;0
10.000;0,0314249;0
10.100;0,0305939;0
10.200;0,0297429;0
10.300;0,0289991;0
10.400;0,0282348;0
10.500;0,0275647;0
10.600;0,0268739;0
10.700;0,0262665;0
10.800;0,0256388;0
10.900;0,0250854;0
11.000;0,0245121;0
11.100;0,0240055;0
11.200;0,0234796;0
11.300;0,023014;0
11.400;0,0225297;0
11.500;0,0221001;0
11.600;0,0216526;0
11.700;0,0212549;0
11.800;0,0208399;0
11.900;0,0204707;0
12.000;0,0200849;0
12.100;0,0197411;0
12.200;0,0193814;0
12.300;0,0190605;0
12.400;0,0187243;0
12.500;0,0184241;0
12.600;0,0181093;0
12.700;0,0178278;0
12.800;0,0175324;0
12.900;0,017268;0
13.000;0,0169902;0
13.100;0,0167414;0
13.200;0,0164797;0
13.300;0,0162452;0
13.400;0,0159984;0
13.500;0,0157769;0
13.600;0,0155437;0
13.700;0,0153343;0
13.800;0,0151136;0
13.900;0,0149154;0
14.000;0,0147063;0
14.100;0,0145184;0
14.200;0,01432;0
14.300;0,0141416;0
14.400;0,0139532;0
14.500;0,0137836;0
14.600;0,0136044;0
14.700;0,0134431;0
14.800;0,0132725;0
14.900;0,0131188;0
15.000;0,0129562;0
15.100;0,0128097;0
15.200;0,0126546;0
15.300;0,0125147;0
15.400;0,0123666;0
15.500;0,012233;0
15.600;0,0120914;0
15.700;0,0119636;0
15.800;0,0118282;0
15.900;0,0117059;0
16.000;0,0115762;0
16.100;0,0114591;0
16.200;0,0113348;0
16.300;0,0112225;0
16.400;0,0111033;0
16.500;0,0109955;0
16.600;0,0108811;0
16.700;0,0107776;0
16.800;0,0106676;0
16.900;0,0105682;0
17.000;0,0104625;0
17.100;0,0103669;0
17.200;0,0102652;0
17.300;0,0101732;0
17.400;0,0100753;0
17.500;0,00998665;0
17.600;0,00989238;0
17.700;0,00980694;0
17.800;0,00971607;0
17.900;0,00963369;0
18.000;0,00954603;0
18.100;0,00946654;0
